16.35, 1, orange, Entry
16.68, 2, white, Exit
16.68, 4, white, Entry
16.68, 4, white, Exit
16.68, 2, white, Entry
16.99, 2, white, Exit
16.99, 4, white, Entry
16.99, 4, white, Exit
16.99, 2, white, Entry
16.99, 1, orange, Exit
16.99, 2, orange, Entry
16.99, 2, orange, Exit
16.99, 1, orange, Entry
17.23, 2, white, Exit
17.23, 4, white, Entry
17.23, 4, white, Exit
17.23, 2, white, Entry
17.23, 1, orange, Exit
17.23, 2, orange, Entry
17.23, 2, orange, Exit
17.23, 1, orange, Entry
17.50, 2, white, Exit
17.50, 4, white, Entry
17.50, 4, white, Exit
17.50, 2, white, Entry
17.50, 2, white, Exit
17.50, 1, white, Entry
17.50, 1, orange, Exit
17.50, 2, orange, Entry
17.50, 2, orange, Exit
17.50, 1, orange, Entry
17.83, 1, white, Exit
17.83, 4, white, Entry
17.83, 4, white, Exit
17.83, 2, white, Entry
17.83, 2, white, Exit
17.83, 1, white, Entry
17.83, 1, white, Exit
17.83, 2, white, Entry
17.83, 1, orange, Exit
17.83, 2, orange, Entry
17.83, 2, orange, Exit
17.83, 1, orange, Entry
18.15, 2, white, Exit
18.15, 4, white, Entry
18.15, 4, white, Exit
18.15, 2, white, Entry
18.15, 1, orange, Exit
18.15, 3, orange, Entry
18.15, 3, orange, Exit
18.15, 4, orange, Entry
18.15, 4, orange, Exit
18.15, 1, orange, Entry
18.15, 1, orange, Exit
18.15, 2, orange, Entry
18.15, 4, yellow, Entry
18.44, 2, white, Exit
18.44, 4, white, Entry
18.44, 4, white, Exit
18.44, 2, white, Entry
18.44, 2, orange, Exit
18.44, 3, orange, Entry
18.44, 3, orange, Exit
18.44, 4, orange, Entry
18.44, 4, orange, Exit
18.44, 1, orange, Entry
18.80, 2, white, Exit
18.80, 4, white, Entry
18.80, 4, white, Exit
18.80, 2, white, Entry
18.80, 1, orange, Exit
18.80, 3, orange, Entry
18.80, 3, orange, Exit
18.80, 4, orange, Entry
18.80, 4, orange, Exit
18.80, 1, orange, Entry
19.08, 2, white, Exit
19.08, 1, white, Entry
19.08, 1, white, Exit
19.08, 2, white, Entry
19.08, 1, orange, Exit
19.08, 3, orange, Entry
19.08, 3, orange, Exit
19.08, 4, orange, Entry
19.08, 4, orange, Exit
19.08, 2, orange, Entry
19.08, 2, orange, Exit
19.08, 1, orange, Entry
19.39, 2, white, Exit
19.39, 4, white, Entry
19.39, 4, white, Exit
19.39, 2, white, Entry
19.39, 2, white, Exit
19.39, 1, white, Entry
19.39, 1, white, Exit
19.39, 2, white, Entry
19.39, 1, orange, Exit
19.39, 4, orange, Entry
19.39, 4, orange, Exit
19.39, 3, orange, Entry
19.39, 3, orange, Exit
19.39, 4, orange, Entry
19.39, 4, orange, Exit
19.39, 2, orange, Entry
19.39, 2, orange, Exit
19.39, 4, orange, Entry
19.39, 4, orange, Exit
19.39, 2, orange, Entry
19.39, 2, orange, Exit
19.39, 1, orange, Entry
19.39, 4, yellow, Exit
19.39, 2, yellow, Entry
19.67, 2, white, Exit
19.67, 4, white, Entry
19.67, 4, white, Exit
19.67, 2, white, Entry
19.67, 2, white, Exit
19.67, 1, white, Entry
19.67, 1, white, Exit
19.67, 2, white, Entry
19.67, 1, orange, Exit
19.67, 4, orange, Entry
19.67, 4, orange, Exit
19.67, 3, orange, Entry
19.67, 3, orange, Exit
19.67, 4, orange, Entry
19.67, 4, orange, Exit
19.67, 2, orange, Entry
19.67, 2, orange, Exit
19.67, 4, orange, Entry
19.67, 4, orange, Exit
19.67, 2, orange, Entry
19.67, 2, orange, Exit
19.67, 1, orange, Entry
19.92, 2, white, Exit
19.92, 4, white, Entry
19.92, 4, white, Exit
19.92, 2, white, Entry
19.92, 2, white, Exit
19.92, 1, white, Entry
19.92, 1, white, Exit
19.92, 2, white, Entry
19.92, 1, orange, Exit
19.92, 3, orange, Entry
19.92, 3, orange, Exit
19.92, 4, orange, Entry
19.92, 4, orange, Exit
19.92, 2, orange, Entry
19.92, 2, orange, Exit
19.92, 4, orange, Entry
19.92, 4, orange, Exit
19.92, 2, orange, Entry
19.92, 2, orange, Exit
19.92, 1, orange, Entry
20.21, 2, white, Exit
20.21, 4, white, Entry
20.21, 4, white, Exit
20.21, 2, white, Entry
20.21, 2, white, Exit
20.21, 1, white, Entry
20.21, 1, white, Exit
20.21, 2, white, Entry
20.21, 1, orange, Exit
20.21, 3, orange, Entry
20.21, 3, orange, Exit
20.21, 4, orange, Entry
20.21, 4, orange, Exit
20.21, 2, orange, Entry
20.21, 2, orange, Exit
20.21, 1, orange, Entry
20.21, 1, orange, Exit
20.21, 4, orange, Entry
20.21, 4, orange, Exit
20.21, 2, orange, Entry
20.21, 2, orange, Exit
20.21, 1, orange, Entry
20.21, 1, orange, Exit
20.21, 2, orange, Entry
20.44, 2, white, Exit
20.44, 4, white, Entry
20.44, 4, white, Exit
20.44, 2, white, Entry
20.44, 2, white, Exit
20.44, 1, white, Entry
20.44, 1, white, Exit
20.44, 2, white, Entry
20.44, 2, orange, Exit
20.44, 3, orange, Entry
20.44, 3, orange, Exit
20.44, 4, orange, Entry
20.44, 4, orange, Exit
20.44, 2, orange, Entry
20.44, 2, orange, Exit
20.44, 1, orange, Entry
20.44, 1, orange, Exit
20.44, 4, orange, Entry
20.44, 4, orange, Exit
20.44, 2, orange, Entry
20.44, 2, orange, Exit
20.44, 1, orange, Entry
20.44, 1, orange, Exit
20.44, 2, orange, Entry
20.44, 2, orange, Exit
20.44, 1, orange, Entry
20.74, 2, white, Exit
20.74, 4, white, Entry
20.74, 4, white, Exit
20.74, 2, white, Entry
20.74, 2, white, Exit
20.74, 1, white, Entry
20.74, 1, white, Exit
20.74, 2, white, Entry
20.74, 1, orange, Exit
20.74, 3, orange, Entry
20.74, 3, orange, Exit
20.74, 4, orange, Entry
20.74, 4, orange, Exit
20.74, 2, orange, Entry
20.74, 2, orange, Exit
20.74, 1, orange, Entry
20.74, 1, orange, Exit
20.74, 4, orange, Entry
20.74, 4, orange, Exit
20.74, 2, orange, Entry
20.74, 2, orange, Exit
20.74, 1, orange, Entry
20.74, 1, orange, Exit
20.74, 2, orange, Entry
20.74, 2, orange, Exit
20.74, 1, orange, Entry
20.94, 2, white, Exit
20.94, 4, white, Entry
20.94, 4, white, Exit
20.94, 2, white, Entry
20.94, 1, orange, Exit
20.94, 3, orange, Entry
20.94, 3, orange, Exit
20.94, 4, orange, Entry
20.94, 4, orange, Exit
20.94, 2, orange, Entry
20.94, 2, orange, Exit
20.94, 1, orange, Entry
20.94, 1, orange, Exit
20.94, 4, orange, Entry
20.94, 4, orange, Exit
20.94, 2, orange, Entry
20.94, 2, orange, Exit
20.94, 1, orange, Entry
20.94, 1, orange, Exit
20.94, 2, orange, Entry
20.94, 2, orange, Exit
20.94, 1, orange, Entry
21.16, 2, white, Exit
21.16, 4, white, Entry
21.16, 4, white, Exit
21.16, 2, white, Entry
21.16, 2, white, Exit
21.16, 1, white, Entry
21.16, 1, white, Exit
21.16, 2, white, Entry
21.16, 1, orange, Exit
21.16, 4, orange, Entry
21.16, 4, orange, Exit
21.16, 3, orange, Entry
21.16, 3, orange, Exit
21.16, 4, orange, Entry
21.16, 4, orange, Exit
21.16, 2, orange, Entry
21.16, 2, orange, Exit
21.16, 1, orange, Entry
21.16, 1, orange, Exit
